,type,text,freq,font,fontsize,rotation,noise_level,filename,question,question_correct,question_filename,event_id,question_asked
0,symbols,^^svd,,DejaVu Sans,30,-15,0.5,symbols_^^svd.png,_ _ s _ _,True,symbols_^^svd_question.png,30,False
1,consonants,wcjrjq,,Comic Sans MS,30,0,0.35,consonants_wcjrjq.png,_ _ c _ _ _,False,consonants_wcjrjq_question.png,20,False
2,symbols,vovvvv,,DejaVu Sans,30,15,0.35,symbols_vovvvv.png,_ _ _ d _ _,False,symbols_vovvvv_question.png,30,False
3,consonants,mgttwx,,Times New Roman,40,0,0.5,consonants_mgttwx.png,m _ _ _ _ _,True,consonants_mgttwx_question.png,20,False
4,consonants,tcftcg,,Times New Roman,30,15,0.2,consonants_tcftcg.png,_ c _ _ _ _,True,consonants_tcftcg_question.png,20,True
5,word,osuma,1083.0,Times New Roman,40,-15,0.5,word_osuma.png,_ q _ _ _,False,word_osuma_question.png,10,False
6,word,ylkä,6.0,Comic Sans MS,20,0,0.35,word_ylkä.png,_ _ k _,True,word_ylkä_question.png,10,False
7,word,viipyä,1043.0,Impact,40,-15,0.5,word_viipyä.png,g _ _ _ _ _,False,word_viipyä_question.png,10,False
8,word,rämä,52.0,Impact,30,15,0.2,word_rämä.png,_ h _ _,False,word_rämä_question.png,10,False
9,symbols,^vod,,DejaVu Sans,30,15,0.35,symbols_^vod.png,_ _ _ v,False,symbols_^vod_question.png,30,False
10,word,motata,156.0,Times New Roman,30,15,0.5,word_motata.png,x _ _ _ _ _,False,word_motata_question.png,10,True
11,consonants,xggtw,,Impact,20,-15,0.5,consonants_xggtw.png,_ _ _ _ w,True,consonants_xggtw_question.png,20,False
12,word,gongi,27.0,Comic Sans MS,40,-15,0.2,word_gongi.png,g _ _ _ _,True,word_gongi_question.png,10,False
13,word,fuksi,142.0,Impact,40,-15,0.35,word_fuksi.png,_ _ _ z _,False,word_fuksi_question.png,10,False
14,symbols,d^dvdd,,DejaVu Sans,30,0,0.2,symbols_d^dvdd.png,_ _ ^ _ _ _,False,symbols_d^dvdd_question.png,30,False
15,symbols,d^oood,,DejaVu Sans,20,0,0.5,symbols_d^oood.png,d _ _ _ _ _,True,symbols_d^oood_question.png,30,True
16,consonants,tvzdg,,Impact,30,-15,0.5,consonants_tvzdg.png,_ _ _ d _,True,consonants_tvzdg_question.png,20,False
17,word,katodi,6.0,Comic Sans MS,30,-15,0.35,word_katodi.png,_ ü _ _ _ _,False,word_katodi_question.png,10,False
18,word,juhta,15.0,Times New Roman,20,15,0.35,word_juhta.png,_ _ o _ _,False,word_juhta_question.png,10,False
19,symbols,s^vds^,,DejaVu Sans,30,15,0.5,symbols_s^vds^.png,_ _ _ _ s _,True,symbols_s^vds^_question.png,30,False
20,symbols,d^^do,,DejaVu Sans,20,0,0.35,symbols_d^^do.png,_ _ ^ _ _,True,symbols_d^^do_question.png,30,False
21,consonants,dvqdj,,Comic Sans MS,40,15,0.5,consonants_dvqdj.png,_ _ _ _ j,True,consonants_dvqdj_question.png,20,False
22,word,harjus,5.0,Times New Roman,20,15,0.2,word_harjus.png,h _ _ _ _ _,True,word_harjus_question.png,10,True
23,symbols,v^v^,,DejaVu Sans,20,15,0.5,symbols_v^v^.png,_ ^ _ _,True,symbols_v^v^_question.png,30,False
24,word,akti,34.0,Times New Roman,20,0,0.35,word_akti.png,_ _ t _,True,word_akti_question.png,10,False
25,word,päkiä,5.0,Impact,40,0,0.35,word_päkiä.png,t _ _ _ _,False,word_päkiä_question.png,10,False
26,word,kolhia,32.0,Times New Roman,20,15,0.5,word_kolhia.png,_ _ _ _ _ i,False,word_kolhia_question.png,10,True
27,symbols,^ss^,,DejaVu Sans,30,15,0.5,symbols_^ss^.png,_ o _ _,False,symbols_^ss^_question.png,30,False
28,consonants,fwgntw,,Comic Sans MS,30,-15,0.2,consonants_fwgntw.png,_ w _ _ _ _,True,consonants_fwgntw_question.png,20,False
29,word,orpo,798.0,Comic Sans MS,30,-15,0.2,word_orpo.png,_ ö _ _,False,word_orpo_question.png,10,False
30,symbols,ovvds,,DejaVu Sans,20,-15,0.35,symbols_ovvds.png,_ v _ _ _,True,symbols_ovvds_question.png,30,False
31,word,miten,321956.0,Times New Roman,30,-15,0.35,word_miten.png,_ _ _ e _,True,word_miten_question.png,10,False
